id ra dec z_gsf z err_l_z err_u_z flux_f444w fluxerr_f444w logMstel err_l_logMstel err_u_logMstel logSFRUV err_l_logSFRUV err_u_logSFRUV beta err_l_beta err_u_beta Muv err_l_Muv err_u_Muv logT err_l_logT err_u_logT logZ err_l_logZ err_u_logZ Av err_l_Av err_u_Av sn_uv sn_det mgf err_l_mgf err_u_mgf logre_kpc err_l_logre_kpc err_u_logre_kpc n err_l_n err_u_n q err_l_q err_u_q chi2 no-data-sed scale_flux err_scale_flux_l err_scale_flux_u flag_gf flag_zspec flag_keydrop flag_unresolved flag_bd chi2nu_eazy chi2nu_spex keydrop
glassnircam-9701 3.5529106 -30.403868 5.02 5.02 0.0 0.0 30.28 4.384 8.33 0.31 0.16 0.24 0.08 0.21 -2.4 0.36 0.36 -17.949 0.23 0.19 -1.0 0.27 0.2 -1.49 0.39 0.71 0.01 0.01 0.11 10.781 30.739 27.877 0.051 0.051 -0.382 0.348 0.348 1.0 0.0 0.0 0.867 0.076 0.076 1.049 7 1.394 0.064 0.067 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-11854 3.6054316 -30.396582 5.77 5.77 0.0 0.0 29.607 2.669 6.82 0.06 0.18 0.01 0.03 0.02 -2.77 0.02 0.04 -18.566 0.07 0.06 -2.22 0.34 0.88 -0.63 0.14 0.08 0.0 0.0 0.02 13.412 44.03 28.669 0.03 0.03 -0.941 0.067 0.067 1.0 0.0 0.0 0.315 0.08 0.08 0.793 7 0.805 0.022 0.022 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-11960 3.5907068 -30.395544 5.66 5.66 0.0 0.0 472.431 7.229 8.381 0.04 0.06 0.741 0.01 0.0 -2.83 0.02 0.05 -19.913 0.02 0.01 -0.58 0.31 0.16 -0.55 0.06 0.09 0.01 0.01 0.07 103.95 234.47 27.257 0.012 0.012 -1.067 0.085 0.085 1.699 0.039 0.039 0.66 0.008 0.008 2.65 7 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-12496 3.5651999 -30.394262 5.77 5.77 0.0 0.0 280.177 6.1 8.797 0.04 0.07 0.737 0.08 0.12 -1.94 0.08 0.13 -20.01 0.06 0.04 -1.02 0.28 0.15 -0.79 0.14 0.18 0.07 0.07 0.26 32.269 145.866 27.423 0.012 0.012 -0.822 0.036 0.036 1.0 0.0 0.0 0.327 0.019 0.019 1.208 7 0.722 0.008 0.008 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-14994 3.5957074 -30.386774 5.05 5.05 0.0 0.0 59.551 3.036 8.484 0.08 0.07 0.144 0.03 0.03 -2.55 0.14 0.19 -18.439 0.11 0.08 -0.53 0.29 0.15 -0.68 0.32 0.38 0.1 0.1 0.26 18.758 67.485 27.731 0.252 0.252 -0.464 0.43 0.43 10.0 4.653 4.653 0.353 0.052 0.052 1.283 7 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-15060 3.5954387 -30.386791 5.05 5.05 0.0 0.0 360.691 5.125 8.914 0.04 0.03 0.834 0.07 0.1 -1.95 0.06 0.11 -19.566 0.06 0.04 -1.14 0.22 0.17 -0.73 0.08 0.06 0.19 0.13 0.13 39.208 229.858 26.872 0.015 0.015 -0.293 0.027 0.027 0.887 0.039 0.039 0.212 0.005 0.005 1.254 7 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-15949 3.5947585 -30.384432 5.61 5.61 0.0 0.0 16.801 2.113 8.094 0.07 0.06 -0.136 0.04 0.03 -2.61 0.15 0.28 -17.6 0.14 0.09 -0.52 0.32 0.17 -0.68 0.76 0.5 0.11 0.11 0.4 11.822 31.247 29.063 0.027 0.027 -1.466 0.16 0.16 1.0 0.0 0.0 0.2 1.002 1.002 1.256 7 1.047 0.025 0.026 0 1 0 1 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-37546 3.4833336 -30.332148 5.07 5.07 0.0 0.0 356.788 4.274 9.307 0.02 0.01 1.287 0.02 0.01 -2.05 0.02 0.01 -20.893 0.02 0.02 -0.98 0.26 0.16 -1.97 0.02 0.02 0.0 0.0 0.0 61.882 224.254 25.801 0.009 0.009 -0.064 0.006 0.006 0.383 0.018 0.018 0.359 0.004 0.004 2.993 7 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
primernircam-9711 150.14299 2.2567828 5.12 5.12 0.0 0.0 482.577 7.61 9.28 0.4 0.1 1.54 0.08 0.09 -1.92 0.08 0.1 -21.29 0.04 0.03 -0.73 0.91 0.31 -0.31 0.08 0.06 0.08 0.08 0.12 29.006 153.591 25.216 0.016 0.016 0.097 0.007 0.007 0.2 0.029 0.029 0.263 0.006 0.006 0.431 8 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
primernircam-10934 150.13754 2.2596548 5.67 5.67 0.0 0.0 126.185 5.526 7.58 0.09 0.33 0.79 0.02 0.02 -2.66 0.02 0.03 -20.175 0.06 0.06 -1.88 0.55 1.3 -0.6 0.04 0.04 0.01 0.01 0.05 12.285 59.303 26.495 0.043 0.043 -0.255 0.034 0.034 1.0 0.0 0.0 0.358 0.044 0.044 0.143 8 0.933 0.036 0.038 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
